time,Normal,Kalman
0,13.3417,9.43398
1,13.6015,83.7616
2,13.4164,92.6175
3,6.40312,88.8144
4,7.07107,82.201
5,10.4403,81.5659
6,13.4536,74.9667
7,11.6619,67.897
8,13.9284,67.1789
9,10.7703,60.8769
10,12.1655,61.7171
11,10.2956,61.6117
12,9.05539,50.9313
13,14.8661,45.793
14,23.0217,48.8467
15,22.4722,48.3322
16,17.1172,40.8167
17,12.3693,31.4006
18,7.28011,31.305
19,7.28011,31.305
20,9.05539,27.5862
21,8.06226,30.8869
22,19.4165,41.1461
23,23.7697,40.3113
24,17.6918,35.805
25,19.8494,35
26,24.8395,39.2046
27,8.48528,17.2047
28,11.0454,13.3417
29,384.005,328.459
30,373.044,310.098
31,440.556,381.473
32,18.868,31.8277
33,25.807,52.345
34,26.8328,58.6941
35,12.3693,40.3609
36,13.6015,36.2353
37,6.08276,24.6982
38,8.94427,10.8167
39,9.48683,8.60233
40,10,6.08276
41,12.083,11.1803
42,23,14.7648
43,13.4164,5
44,14.3178,34.6554
45,10,22.0227
46,15.6525,24.6982
47,14.1421,26.9258
48,6.40312,16.1555
49,3,9.43398
50,8.60233,7
51,2,9.84886
52,9.84886,13.1529
53,9.21954,2.23607
54,8.06226,7.81025
55,17.4929,15.1327
56,18.0278,13.1529
57,5.83095,2
58,9.21954,13.4164
59,7.61577,10.6301
60,17.0294,17.72
61,5.09902,10.6301
62,13.4164,13
63,18.9737,21.8403
64,16.4012,18.0278
65,16.9706,15.8114
66,8.06226,3.16228
67,12.8062,21.095
68,5.09902,7.28011
69,7.07107,10.6301
70,16.1555,19.3132
71,22.4722,22.3607
72,20.6155,22.8035
73,23.3238,24.8395
74,33.6006,32.8024
75,14.3178,15.1327
76,16.0312,16.1555
77,14.0357,17.0294
78,21.2132,24.5153
79,19.6977,25.318
80,17.088,18.0278
81,10.6301,11.6619
82,21.587,22.2036
83,13.6015,7
84,5.09902,5.09902
85,10.7703,14.0357
86,15,21.095
87,13.6015,23.7697
88,12.8062,20.1246
89,16.4012,20.6155
90,21.2132,24.4131
91,12.1655,17
92,21.9317,25.807
93,3,15
94,11.4018,21.095
95,11.4018,12.6491
96,4.12311,7.61577
97,8.24621,10.4403
98,55.1453,52.469
99,11.4018,13.9284
